time_index,timestamp,year,month,split
29220,1979-01-01T00:00:00,1979,1,train
29221,1979-01-01T06:00:00,1979,1,train
29222,1979-01-01T12:00:00,1979,1,train
29223,1979-01-01T18:00:00,1979,1,train
29224,1979-01-02T00:00:00,1979,1,train
29225,1979-01-02T06:00:00,1979,1,train
29226,1979-01-02T12:00:00,1979,1,train
29227,1979-01-02T18:00:00,1979,1,train
29228,1979-01-03T00:00:00,1979,1,train
29229,1979-01-03T06:00:00,1979,1,train
29230,1979-01-03T12:00:00,1979,1,train
29231,1979-01-03T18:00:00,1979,1,train
29232,1979-01-04T00:00:00,1979,1,train
29233,1979-01-04T06:00:00,1979,1,train
29234,1979-01-04T12:00:00,1979,1,train
29235,1979-01-04T18:00:00,1979,1,train
29236,1979-01-05T00:00:00,1979,1,train
29237,1979-01-05T06:00:00,1979,1,train
29238,1979-01-05T12:00:00,1979,1,train
29239,1979-01-05T18:00:00,1979,1,train
29240,1979-01-06T00:00:00,1979,1,train
29241,1979-01-06T06:00:00,1979,1,train
29242,1979-01-06T12:00:00,1979,1,train
29243,1979-01-06T18:00:00,1979,1,train
29244,1979-01-07T00:00:00,1979,1,train
29245,1979-01-07T06:00:00,1979,1,train
29246,1979-01-07T12:00:00,1979,1,train
29247,1979-01-07T18:00:00,1979,1,train
29248,1979-01-08T00:00:00,1979,1,train
29249,1979-01-08T06:00:00,1979,1,train
29250,1979-01-08T12:00:00,1979,1,train
29251,1979-01-08T18:00:00,1979,1,train
29252,1979-01-09T00:00:00,1979,1,train
29253,1979-01-09T06:00:00,1979,1,train
29254,1979-01-09T12:00:00,1979,1,train
29255,1979-01-09T18:00:00,1979,1,train
29256,1979-01-10T00:00:00,1979,1,train
29257,1979-01-10T06:00:00,1979,1,train
29258,1979-01-10T12:00:00,1979,1,train
29259,1979-01-10T18:00:00,1979,1,train
29260,1979-01-11T00:00:00,1979,1,train
29261,1979-01-11T06:00:00,1979,1,train
29262,1979-01-11T12:00:00,1979,1,train
29263,1979-01-11T18:00:00,1979,1,train
29264,1979-01-12T00:00:00,1979,1,train
29265,1979-01-12T06:00:00,1979,1,train
29266,1979-01-12T12:00:00,1979,1,train
29267,1979-01-12T18:00:00,1979,1,train
29268,1979-01-13T00:00:00,1979,1,train
29269,1979-01-13T06:00:00,1979,1,train
29270,1979-01-13T12:00:00,1979,1,train
29271,1979-01-13T18:00:00,1979,1,train
29272,1979-01-14T00:00:00,1979,1,train
29273,1979-01-14T06:00:00,1979,1,train
29274,1979-01-14T12:00:00,1979,1,train
29275,1979-01-14T18:00:00,1979,1,train
29276,1979-01-15T00:00:00,1979,1,train
29277,1979-01-15T06:00:00,1979,1,train
29278,1979-01-15T12:00:00,1979,1,train
29279,1979-01-15T18:00:00,1979,1,train
29280,1979-01-16T00:00:00,1979,1,train
29281,1979-01-16T06:00:00,1979,1,train
29282,1979-01-16T12:00:00,1979,1,train
29283,1979-01-16T18:00:00,1979,1,train
29284,1979-01-17T00:00:00,1979,1,train
29285,1979-01-17T06:00:00,1979,1,train
29286,1979-01-17T12:00:00,1979,1,train
29287,1979-01-17T18:00:00,1979,1,train
29288,1979-01-18T00:00:00,1979,1,train
29289,1979-01-18T06:00:00,1979,1,train
29290,1979-01-18T12:00:00,1979,1,train
29291,1979-01-18T18:00:00,1979,1,train
29292,1979-01-19T00:00:00,1979,1,train
29293,1979-01-19T06:00:00,1979,1,train
29294,1979-01-19T12:00:00,1979,1,train
29295,1979-01-19T18:00:00,1979,1,train
29296,1979-01-20T00:00:00,1979,1,train
29297,1979-01-20T06:00:00,1979,1,train
29298,1979-01-20T12:00:00,1979,1,train
29299,1979-01-20T18:00:00,1979,1,train
29300,1979-01-21T00:00:00,1979,1,train
29301,1979-01-21T06:00:00,1979,1,train
29302,1979-01-21T12:00:00,1979,1,train
29303,1979-01-21T18:00:00,1979,1,train
29304,1979-01-22T00:00:00,1979,1,train
29305,1979-01-22T06:00:00,1979,1,train
29306,1979-01-22T12:00:00,1979,1,train
29307,1979-01-22T18:00:00,1979,1,train
29308,1979-01-23T00:00:00,1979,1,train
29309,1979-01-23T06:00:00,1979,1,train
29310,1979-01-23T12:00:00,1979,1,train
29311,1979-01-23T18:00:00,1979,1,train
29312,1979-01-24T00:00:00,1979,1,train
29313,1979-01-24T06:00:00,1979,1,train
29314,1979-01-24T12:00:00,1979,1,train
29315,1979-01-24T18:00:00,1979,1,train
29316,1979-01-25T00:00:00,1979,1,train
29317,1979-01-25T06:00:00,1979,1,train
29318,1979-01-25T12:00:00,1979,1,train
29319,1979-01-25T18:00:00,1979,1,train
29320,1979-01-26T00:00:00,1979,1,train
29321,1979-01-26T06:00:00,1979,1,train
29322,1979-01-26T12:00:00,1979,1,train
29323,1979-01-26T18:00:00,1979,1,train
29324,1979-01-27T00:00:00,1979,1,train
29325,1979-01-27T06:00:00,1979,1,train
29326,1979-01-27T12:00:00,1979,1,train
29327,1979-01-27T18:00:00,1979,1,train
29328,1979-01-28T00:00:00,1979,1,train
29329,1979-01-28T06:00:00,1979,1,train
29330,1979-01-28T12:00:00,1979,1,train
29331,1979-01-28T18:00:00,1979,1,train
29332,1979-01-29T00:00:00,1979,1,train
29333,1979-01-29T06:00:00,1979,1,train
29334,1979-01-29T12:00:00,1979,1,train
29335,1979-01-29T18:00:00,1979,1,train
29336,1979-01-30T00:00:00,1979,1,train
29337,1979-01-30T06:00:00,1979,1,train
29338,1979-01-30T12:00:00,1979,1,train
29339,1979-01-30T18:00:00,1979,1,train
29340,1979-01-31T00:00:00,1979,1,train
29341,1979-01-31T06:00:00,1979,1,train
29342,1979-01-31T12:00:00,1979,1,train
29343,1979-01-31T18:00:00,1979,1,train
29344,1979-02-01T00:00:00,1979,2,train
29345,1979-02-01T06:00:00,1979,2,train
29346,1979-02-01T12:00:00,1979,2,train
29347,1979-02-01T18:00:00,1979,2,train
29348,1979-02-02T00:00:00,1979,2,train
29349,1979-02-02T06:00:00,1979,2,train
29350,1979-02-02T12:00:00,1979,2,train
29351,1979-02-02T18:00:00,1979,2,train
29352,1979-02-03T00:00:00,1979,2,train
29353,1979-02-03T06:00:00,1979,2,train
29354,1979-02-03T12:00:00,1979,2,train
29355,1979-02-03T18:00:00,1979,2,train
29356,1979-02-04T00:00:00,1979,2,train
29357,1979-02-04T06:00:00,1979,2,train
29358,1979-02-04T12:00:00,1979,2,train
29359,1979-02-04T18:00:00,1979,2,train
29360,1979-02-05T00:00:00,1979,2,train
29361,1979-02-05T06:00:00,1979,2,train
29362,1979-02-05T12:00:00,1979,2,train
29363,1979-02-05T18:00:00,1979,2,train
29364,1979-02-06T00:00:00,1979,2,train
29365,1979-02-06T06:00:00,1979,2,train
29366,1979-02-06T12:00:00,1979,2,train
29367,1979-02-06T18:00:00,1979,2,train
29368,1979-02-07T00:00:00,1979,2,train
29369,1979-02-07T06:00:00,1979,2,train
29370,1979-02-07T12:00:00,1979,2,train
29371,1979-02-07T18:00:00,1979,2,train
29372,1979-02-08T00:00:00,1979,2,train
29373,1979-02-08T06:00:00,1979,2,train
29374,1979-02-08T12:00:00,1979,2,train
29375,1979-02-08T18:00:00,1979,2,train
29376,1979-02-09T00:00:00,1979,2,train
29377,1979-02-09T06:00:00,1979,2,train
29378,1979-02-09T12:00:00,1979,2,train
29379,1979-02-09T18:00:00,1979,2,train
29380,1979-02-10T00:00:00,1979,2,train
29381,1979-02-10T06:00:00,1979,2,train
29382,1979-02-10T12:00:00,1979,2,train
29383,1979-02-10T18:00:00,1979,2,train
29384,1979-02-11T00:00:00,1979,2,train
29385,1979-02-11T06:00:00,1979,2,train
29386,1979-02-11T12:00:00,1979,2,train
29387,1979-02-11T18:00:00,1979,2,train
29388,1979-02-12T00:00:00,1979,2,train
29389,1979-02-12T06:00:00,1979,2,train
29390,1979-02-12T12:00:00,1979,2,train
29391,1979-02-12T18:00:00,1979,2,train
29392,1979-02-13T00:00:00,1979,2,train
29393,1979-02-13T06:00:00,1979,2,train
29394,1979-02-13T12:00:00,1979,2,train
29395,1979-02-13T18:00:00,1979,2,train
29396,1979-02-14T00:00:00,1979,2,train
29397,1979-02-14T06:00:00,1979,2,train
29398,1979-02-14T12:00:00,1979,2,train
29399,1979-02-14T18:00:00,1979,2,train
29400,1979-02-15T00:00:00,1979,2,train
29401,1979-02-15T06:00:00,1979,2,train
29402,1979-02-15T12:00:00,1979,2,train
29403,1979-02-15T18:00:00,1979,2,train
29404,1979-02-16T00:00:00,1979,2,train
29405,1979-02-16T06:00:00,1979,2,train
29406,1979-02-16T12:00:00,1979,2,train
29407,1979-02-16T18:00:00,1979,2,train
29408,1979-02-17T00:00:00,1979,2,train
29409,1979-02-17T06:00:00,1979,2,train
29410,1979-02-17T12:00:00,1979,2,train
29411,1979-02-17T18:00:00,1979,2,train
29412,1979-02-18T00:00:00,1979,2,train
29413,1979-02-18T06:00:00,1979,2,train
29414,1979-02-18T12:00:00,1979,2,train
29415,1979-02-18T18:00:00,1979,2,train
29416,1979-02-19T00:00:00,1979,2,train
29417,1979-02-19T06:00:00,1979,2,train
29418,1979-02-19T12:00:00,1979,2,train
29419,1979-02-19T18:00:00,1979,2,train
29420,1979-02-20T00:00:00,1979,2,train
29421,1979-02-20T06:00:00,1979,2,train
29422,1979-02-20T12:00:00,1979,2,train
29423,1979-02-20T18:00:00,1979,2,train
29424,1979-02-21T00:00:00,1979,2,train
29425,1979-02-21T06:00:00,1979,2,train
29426,1979-02-21T12:00:00,1979,2,train
29427,1979-02-21T18:00:00,1979,2,train
29428,1979-02-22T00:00:00,1979,2,train
29429,1979-02-22T06:00:00,1979,2,train
29430,1979-02-22T12:00:00,1979,2,train
29431,1979-02-22T18:00:00,1979,2,train
29432,1979-02-23T00:00:00,1979,2,train
29433,1979-02-23T06:00:00,1979,2,train
29434,1979-02-23T12:00:00,1979,2,train
29435,1979-02-23T18:00:00,1979,2,train
29436,1979-02-24T00:00:00,1979,2,train
29437,1979-02-24T06:00:00,1979,2,train
29438,1979-02-24T12:00:00,1979,2,train
29439,1979-02-24T18:00:00,1979,2,train
29440,1979-02-25T00:00:00,1979,2,train
29441,1979-02-25T06:00:00,1979,2,train
29442,1979-02-25T12:00:00,1979,2,train
29443,1979-02-25T18:00:00,1979,2,train
29444,1979-02-26T00:00:00,1979,2,train
29445,1979-02-26T06:00:00,1979,2,train
29446,1979-02-26T12:00:00,1979,2,train
29447,1979-02-26T18:00:00,1979,2,train
29448,1979-02-27T00:00:00,1979,2,train
29449,1979-02-27T06:00:00,1979,2,train
29450,1979-02-27T12:00:00,1979,2,train
29451,1979-02-27T18:00:00,1979,2,train
29452,1979-02-28T00:00:00,1979,2,train
29453,1979-02-28T06:00:00,1979,2,train
29454,1979-02-28T12:00:00,1979,2,train
29455,1979-02-28T18:00:00,1979,2,train
29456,1979-03-01T00:00:00,1979,3,train
29457,1979-03-01T06:00:00,1979,3,train
29458,1979-03-01T12:00:00,1979,3,train
29459,1979-03-01T18:00:00,1979,3,train
29460,1979-03-02T00:00:00,1979,3,train
29461,1979-03-02T06:00:00,1979,3,train
29462,1979-03-02T12:00:00,1979,3,train
29463,1979-03-02T18:00:00,1979,3,train
29464,1979-03-03T00:00:00,1979,3,train
29465,1979-03-03T06:00:00,1979,3,train
29466,1979-03-03T12:00:00,1979,3,train
29467,1979-03-03T18:00:00,1979,3,train
29468,1979-03-04T00:00:00,1979,3,train
29469,1979-03-04T06:00:00,1979,3,train
29470,1979-03-04T12:00:00,1979,3,train
29471,1979-03-04T18:00:00,1979,3,train
29472,1979-03-05T00:00:00,1979,3,train
29473,1979-03-05T06:00:00,1979,3,train
29474,1979-03-05T12:00:00,1979,3,train
29475,1979-03-05T18:00:00,1979,3,train
29476,1979-03-06T00:00:00,1979,3,train
29477,1979-03-06T06:00:00,1979,3,train
29478,1979-03-06T12:00:00,1979,3,train
29479,1979-03-06T18:00:00,1979,3,train
29480,1979-03-07T00:00:00,1979,3,train
29481,1979-03-07T06:00:00,1979,3,train
29482,1979-03-07T12:00:00,1979,3,train
29483,1979-03-07T18:00:00,1979,3,train
29484,1979-03-08T00:00:00,1979,3,train
29485,1979-03-08T06:00:00,1979,3,train
29486,1979-03-08T12:00:00,1979,3,train
29487,1979-03-08T18:00:00,1979,3,train
29488,1979-03-09T00:00:00,1979,3,train
29489,1979-03-09T06:00:00,1979,3,train
29490,1979-03-09T12:00:00,1979,3,train
29491,1979-03-09T18:00:00,1979,3,train
29492,1979-03-10T00:00:00,1979,3,train
29493,1979-03-10T06:00:00,1979,3,train
29494,1979-03-10T12:00:00,1979,3,train
29495,1979-03-10T18:00:00,1979,3,train
29496,1979-03-11T00:00:00,1979,3,train
29497,1979-03-11T06:00:00,1979,3,train
29498,1979-03-11T12:00:00,1979,3,train
29499,1979-03-11T18:00:00,1979,3,train
29500,1979-03-12T00:00:00,1979,3,train
29501,1979-03-12T06:00:00,1979,3,train
29502,1979-03-12T12:00:00,1979,3,train
29503,1979-03-12T18:00:00,1979,3,train
29504,1979-03-13T00:00:00,1979,3,train
29505,1979-03-13T06:00:00,1979,3,train
29506,1979-03-13T12:00:00,1979,3,train
29507,1979-03-13T18:00:00,1979,3,train
29508,1979-03-14T00:00:00,1979,3,train
29509,1979-03-14T06:00:00,1979,3,train
29510,1979-03-14T12:00:00,1979,3,train
29511,1979-03-14T18:00:00,1979,3,train
29512,1979-03-15T00:00:00,1979,3,train
29513,1979-03-15T06:00:00,1979,3,train
29514,1979-03-15T12:00:00,1979,3,train
29515,1979-03-15T18:00:00,1979,3,train
29516,1979-03-16T00:00:00,1979,3,train
29517,1979-03-16T06:00:00,1979,3,train
29518,1979-03-16T12:00:00,1979,3,train
29519,1979-03-16T18:00:00,1979,3,train
29520,1979-03-17T00:00:00,1979,3,train
29521,1979-03-17T06:00:00,1979,3,train
29522,1979-03-17T12:00:00,1979,3,train
29523,1979-03-17T18:00:00,1979,3,train
29524,1979-03-18T00:00:00,1979,3,train
29525,1979-03-18T06:00:00,1979,3,train
29526,1979-03-18T12:00:00,1979,3,train
