station_id,usaf,wban,name,country,state,icao,latitude,longitude,elevation_m,era5_lat_idx,era5_lon_idx,era5_grid_lat,era5_grid_lon,distance_to_grid_km,era5_grid_id,split,era5_temporal_overlap,file,size_bytes
01001099999,010010,99999,JAN MAYEN(NOR-NAVY),NO,,ENJA,70.933,-8.667,+0009.0,107,234,70.49999999999999,351.0,49.676,107:234,external_2023_no_era5,False,/home/tahiti/ConserveFM/data/ISD_2023_stations/01001099999.csv,3025698
01001499999,010014,99999,SORSTOKKEN / STORD,NO,,ENSO,59.792,5.341,+0048.8,100,4,59.999999999999986,6.0,43.425,100:4,external_2023_no_era5,False,/home/tahiti/ConserveFM/data/ISD_2023_stations/01001499999.csv,1900320
01002099999,010020,99999,VERLEGENHUKEN,NO,,,80.05,16.25,+0008.0,113,11,79.49999999999997,16.499999999999996,61.356,113:11,external_2023_no_era5,False,/home/tahiti/ConserveFM/data/ISD_2023_stations/01002099999.csv,145363
01003099999,010030,99999,HORNSUND,NO,,,77.0,15.5,+0012.0,111,10,76.49999999999999,14.999999999999998,57.039,111:10,external_2023_no_era5,False,/home/tahiti/ConserveFM/data/ISD_2023_stations/01003099999.csv,429820
01006099999,010060,99999,EDGEOYA,NO,,,78.25,22.817,+0014.0,112,15,77.99999999999999,22.5,28.729,112:15,external_2023_no_era5,False,/home/tahiti/ConserveFM/data/ISD_2023_stations/01006099999.csv,153103
01007099999,010070,99999,NY-ALESUND,SV,,,78.917,11.933,+0007.7,113,8,79.49999999999997,12.0,64.842,113:8,external_2023_no_era5,False,/home/tahiti/ConserveFM/data/ISD_2023_stations/01007099999.csv,654098
01008099999,010080,99999,LONGYEAR,SV,,ENSB,78.246,15.466,+0026.8,112,10,77.99999999999999,14.999999999999998,29.359,112:10,external_2023_no_era5,False,/home/tahiti/ConserveFM/data/ISD_2023_stations/01008099999.csv,8067311
01009099999,010090,99999,KARL XII OYA,SV,,,80.65,25.0,+0005.0,114,17,81.00000000000003,25.499999999999996,39.915,114:17,external_2023_no_era5,False,/home/tahiti/ConserveFM/data/ISD_2023_stations/01009099999.csv,154064
01010099999,010100,99999,ANDOYA,NO,,ENAN,69.293,16.144,+0013.1,106,11,68.99999999999999,16.499999999999996,35.497,106:11,external_2023_no_era5,False,/home/tahiti/ConserveFM/data/ISD_2023_stations/01010099999.csv,7432506
01011099999,010110,99999,KVITOYA,SV,,,80.067,31.5,+0010.0,113,21,79.49999999999997,31.5,63.048,113:21,external_2023_no_era5,False,/home/tahiti/ConserveFM/data/ISD_2023_stations/01011099999.csv,153478
